,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
36,20161130,14.58,56.28,28.38,14.89,20.75,5.07,26.18,54.17,19.69,5.91,11.28,6.8,14.44,21.25,5.08,13.39,29.72,8.96,40.77,59.5,20.88,11.02,19.91,19.03,22.09,17.76,7.5,33.71,34.71,104.0
37,20161129,14.48,55.9,28.38,14.85,20.71,5.3,26.06,54.68,19.76,6.21,11.16,7.14,13.84,20.51,5.08,13.71,29.72,8.92,39.88,58.78,20.48,10.59,19.91,18.43,22.36,17.49,7.8,33.52,34.3,101.21
38,20161128,14.96,57.05,28.47,14.89,21.16,5.29,26.27,57.65,20.05,6.22,11.16,7.15,13.96,20.22,5.08,13.71,30.24,8.86,40.71,58.6,21.18,10.45,19.91,18.51,22.36,17.85,7.8,34.0,35.12,97.37
39,20161125,15.15,59.44,28.67,15.03,21.16,5.35,26.55,57.65,19.91,6.33,11.3,7.33,14.32,20.73,5.16,14.09,30.68,8.96,43.25,58.78,22.13,10.59,20.73,18.6,22.0,17.94,8.1,34.29,35.12,101.37
40,20161124,15.25,59.82,28.57,15.17,21.31,5.6,26.79,57.82,19.69,6.45,11.26,7.58,14.3,20.75,5.24,14.23,30.33,9.02,43.89,58.45,21.8,10.35,21.09,18.51,22.27,17.98,8.22,34.48,35.12,103.02
41,20161123,15.34,59.82,28.47,15.49,21.12,5.88,26.55,58.16,19.69,6.2,11.37,7.35,14.28,20.31,5.3,14.04,30.24,9.02,43.38,58.42,21.97,10.32,20.68,18.56,21.45,18.07,8.27,34.77,35.29,104.76
42,20161122,15.34,58.87,28.33,15.49,21.39,5.85,26.03,58.24,19.26,6.23,11.41,7.5,14.37,20.25,5.27,14.23,30.07,8.99,40.64,59.28,22.1,10.45,20.77,18.6,21.59,18.11,8.27,34.48,35.21,106.04
43,20161121,14.77,57.81,28.23,15.31,21.35,5.87,26.03,57.06,19.33,6.04,11.28,7.15,14.4,20.31,5.17,14.27,30.46,8.99,40.33,56.43,22.53,10.29,20.09,18.9,21.64,17.89,8.3,34.19,35.21,104.38
44,20161118,14.58,58.87,28.33,15.03,21.31,5.93,26.03,56.97,19.11,5.7,11.26,6.72,14.16,19.44,5.16,14.6,30.24,9.06,40.33,56.25,22.73,10.12,19.55,18.86,21.73,17.85,7.88,34.05,35.21,103.4
45,20161117,14.58,58.58,27.99,15.03,21.46,5.91,25.73,56.97,19.37,5.8,11.32,6.9,14.34,18.98,5.2,14.6,31.03,9.09,40.26,56.07,22.73,10.39,19.73,18.6,21.73,17.98,7.91,34.14,35.29,104.76
46,20161116,14.72,60.11,28.18,15.17,21.58,6.06,26.0,57.06,19.4,5.73,11.41,6.76,14.44,19.24,5.24,14.79,31.03,9.12,40.14,55.17,23.06,9.92,20.27,18.51,21.73,18.11,8.1,34.29,35.29,104.76
47,20161115,14.63,59.92,28.38,15.26,21.35,6.1,26.09,56.97,19.18,5.36,11.32,6.32,14.4,19.33,5.2,14.65,30.98,9.19,40.07,55.97,23.09,9.92,19.64,18.77,21.73,18.16,8.1,34.29,35.33,103.48
48,20161114,14.63,59.73,28.38,15.26,20.93,6.03,25.82,56.8,18.97,5.36,11.22,6.36,14.13,19.33,4.87,14.65,30.15,9.23,39.44,56.61,22.93,10.02,19.55,18.51,21.68,17.94,8.01,34.29,35.45,104.15
49,20161111,14.96,61.26,27.7,15.22,21.08,6.02,25.97,57.73,19.04,5.5,11.24,6.5,14.04,18.8,4.9,14.7,31.11,9.26,41.03,57.05,23.12,9.89,19.77,18.21,21.82,18.29,8.24,34.72,36.36,105.89
50,20161110,15.06,61.74,27.9,15.36,21.16,5.79,25.79,57.65,19.26,5.34,11.45,6.23,14.23,18.76,4.93,14.79,31.16,9.29,41.34,56.8,22.83,9.73,20.09,17.7,22.0,18.43,8.4,34.86,35.37,106.26
51,20161109,15.06,62.02,27.42,15.22,21.08,5.42,25.49,56.89,18.93,5.13,11.24,5.9,14.04,18.37,4.82,14.98,31.11,9.26,41.34,55.89,22.33,9.86,19.96,17.4,22.0,18.16,8.25,34.48,35.12,105.51
52,20161108,15.01,62.69,27.32,15.31,21.16,5.69,25.88,57.4,19.29,5.16,11.45,5.98,14.23,18.37,4.96,15.3,31.81,9.39,41.34,55.61,23.09,9.89,20.41,17.78,22.64,18.43,8.43,34.86,35.37,105.81
53,20161107,15.06,62.12,27.42,15.45,21.24,5.67,25.85,57.06,19.51,5.13,11.37,5.95,14.1,18.41,4.94,15.26,31.46,9.36,41.34,54.99,22.79,9.96,19.67,17.7,22.54,18.43,8.42,34.72,35.33,105.66
54,20161104,15.44,59.82,26.93,15.36,20.97,5.64,25.46,55.7,19.0,5.12,11.16,5.94,13.58,17.51,4.88,15.12,31.46,9.33,41.41,54.63,23.19,9.96,19.47,17.66,22.45,18.02,8.38,33.52,35.04,106.19
55,20161103,15.34,59.82,27.22,15.36,21.01,5.7,25.37,55.36,18.97,5.12,11.32,5.85,13.48,17.25,4.89,14.98,31.42,9.43,41.54,55.17,22.86,9.69,20.09,17.74,22.5,18.25,8.24,33.52,35.04,106.57
56,20161102,15.25,61.26,27.61,15.45,21.08,6.03,25.73,55.87,19.18,5.17,11.58,6.0,13.55,17.27,4.87,15.91,31.46,9.53,41.66,52.94,22.73,9.73,19.67,18.08,22.91,18.56,8.25,33.91,34.96,106.34
57,20161101,15.38,62.69,27.61,15.49,21.16,6.03,26.15,56.38,19.55,5.1,11.77,6.0,13.86,17.8,4.92,16.33,31.29,9.59,41.66,53.01,23.09,9.83,19.92,18.26,22.64,18.6,8.5,34.38,35.33,106.94
58,20161031,15.11,61.26,27.42,15.59,21.16,5.77,26.27,55.95,19.69,5.2,11.79,6.01,13.98,17.51,4.86,16.29,31.73,9.59,41.79,52.29,23.12,9.92,20.04,18.21,23.91,18.78,8.82,34.48,35.12,107.02
59,20161028,15.47,64.13,27.9,15.73,21.12,5.54,26.33,57.65,19.84,5.37,11.87,6.25,13.99,17.4,4.95,16.52,31.73,9.56,41.79,53.55,23.12,10.19,21.41,18.08,24.09,18.56,8.87,34.77,35.41,108.0
60,20161027,15.11,64.13,27.7,15.36,21.12,5.18,26.09,57.48,19.69,5.24,11.79,5.85,13.56,16.92,4.92,16.47,31.64,9.56,41.66,52.83,23.12,9.92,21.33,18.0,24.5,18.56,8.95,34.77,35.37,107.39
61,20161026,15.61,64.51,28.18,15.68,21.12,5.21,25.97,57.4,19.84,5.25,11.77,6.01,13.56,16.75,4.82,16.38,31.03,9.56,41.79,51.93,22.73,9.92,21.33,17.91,23.82,18.56,9.02,33.81,35.08,106.34
