,DTYYYYMMDD,BID,BVH,CTD,CTG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
47,20191119,41.65,72.5,71.0,21.5,13.7,18.35,58.3,107.5,25.0,28.8,22.8,22.75,74.0,119.0,58.3,84.5,38.0,25.0,246.39,18.8,21.1,10.6,24.75,90.2,96.5,117.1,144.0,123.35,21.3,35.3
48,20191118,41.3,73.0,70.7,21.4,13.95,18.75,57.5,108.5,24.95,28.7,22.9,22.6,74.4,117.8,58.2,84.4,37.35,25.2,248.36,18.8,21.0,10.6,24.45,86.83,96.3,118.1,143.5,119.78,21.2,35.2
49,20191115,42.0,73.2,68.9,21.7,14.0,18.85,58.6,108.0,25.0,28.35,22.65,22.75,74.5,118.5,58.5,85.3,37.1,24.9,247.37,18.8,21.1,10.7,24.9,88.91,96.3,119.6,143.3,121.96,21.4,35.2
50,20191114,42.5,72.5,69.0,21.6,14.05,18.75,58.3,106.5,24.95,29.0,22.65,22.95,75.2,116.8,58.5,85.0,36.85,25.0,247.37,18.8,21.45,10.7,24.7,90.1,96.4,119.3,143.4,124.84,21.0,35.0
51,20191113,42.9,72.01,70.2,21.85,14.0,18.6,60.5,105.0,25.05,29.5,22.65,23.25,74.3,119.9,57.2,86.0,37.6,24.95,247.37,18.9,21.65,10.8,24.75,89.7,97.1,119.0,143.5,124.44,21.5,34.7
52,20191112,42.1,72.8,71.3,22.0,14.2,18.5,61.0,105.0,25.1,29.5,23.0,23.3,75.0,122.3,58.1,85.3,37.6,25.15,250.32,18.9,21.65,10.75,25.15,90.89,97.8,119.4,143.5,126.43,21.65,34.7
53,20191111,41.3,72.6,73.0,21.95,13.7,18.4,60.0,104.3,25.2,29.6,22.8,23.45,74.5,121.9,58.1,84.7,37.65,25.4,250.42,18.9,21.7,10.8,25.15,90.49,98.7,118.9,142.8,128.21,21.9,34.7
54,20191108,41.3,72.6,74.5,22.3,13.75,18.4,59.6,105.7,25.35,29.65,22.7,23.4,76.8,124.6,58.3,85.7,38.1,25.0,255.23,18.95,22.05,10.85,25.1,90.69,98.5,120.5,143.2,128.11,22.15,34.65
55,20191107,41.6,73.09,75.0,22.25,13.8,18.4,59.5,106.1,25.5,29.15,22.7,23.5,76.5,125.3,58.1,85.2,38.5,25.0,255.23,18.9,22.05,10.9,24.8,90.49,99.5,120.8,143.2,128.01,22.0,35.2
56,20191106,41.5,74.08,75.1,22.3,13.75,17.4,59.5,105.8,25.55,29.1,22.0,23.55,76.0,124.6,58.7,85.0,37.9,25.0,255.23,18.45,21.7,11.0,24.75,90.2,99.4,121.9,143.5,129.0,22.15,35.15
57,20191105,41.79,74.18,74.5,22.4,13.65,17.4,59.8,107.0,25.9,29.5,21.9,23.25,76.0,125.6,58.5,85.2,37.9,25.0,255.23,18.3,21.8,10.95,24.75,90.0,97.9,121.5,145.7,128.11,22.25,35.6
58,20191104,41.5,72.99,74.5,22.45,13.65,16.5,59.9,105.5,25.4,29.5,21.75,23.3,76.3,126.1,59.2,85.6,38.3,25.1,255.23,18.1,21.75,10.9,24.35,91.19,96.0,121.7,145.3,130.19,22.0,34.9
59,20191101,40.32,72.99,76.1,22.3,13.9,16.5,58.5,104.5,25.21,29.3,21.9,22.95,75.7,125.2,59.0,83.3,37.65,25.2,255.23,18.75,21.5,10.9,23.75,88.02,95.2,122.5,145.5,131.28,21.5,35.05
60,20191031,39.93,71.12,79.0,22.0,13.65,16.5,57.9,103.5,25.21,29.45,21.8,23.0,74.2,124.6,59.5,83.3,37.5,25.1,255.72,18.75,21.35,10.8,23.7,86.93,89.0,119.0,145.0,128.9,21.5,33.2
61,20191030,39.53,69.84,79.3,22.15,14.0,16.5,57.8,103.2,25.4,28.9,22.0,23.05,74.0,124.9,59.3,83.0,37.7,25.3,256.21,18.9,21.35,10.7,23.8,87.03,88.8,119.6,144.8,130.89,21.8,33.25
62,20191029,39.93,69.93,78.7,22.05,14.2,16.6,57.9,102.2,25.4,28.8,22.2,22.85,74.0,127.0,59.1,82.6,37.95,25.6,255.23,18.9,21.15,10.65,23.7,85.64,87.6,117.8,143.5,132.97,21.9,32.6
63,20191028,39.93,70.03,79.5,22.0,14.0,16.6,58.1,102.9,25.49,28.9,22.2,23.0,74.5,127.6,59.2,83.5,36.6,25.65,252.77,19.0,21.25,10.85,23.8,86.63,86.0,117.7,145.0,132.67,22.05,32.45
64,20191025,39.53,70.53,82.0,22.0,14.05,16.5,58.0,102.5,25.87,28.9,21.8,23.2,74.6,127.9,60.5,83.2,37.0,25.6,251.3,18.7,21.3,10.9,23.85,87.22,86.0,117.2,145.9,133.37,22.0,32.55
65,20191024,39.63,69.74,83.3,21.5,14.35,16.5,58.2,102.4,25.68,29.2,22.0,22.95,75.6,127.5,60.9,83.7,36.7,25.3,248.36,18.65,21.3,10.95,23.85,86.13,86.1,117.2,144.9,131.48,21.8,32.7
66,20191023,39.43,69.84,83.0,21.45,14.4,16.5,56.4,101.2,25.87,28.25,21.85,22.9,75.8,123.2,60.5,82.8,36.3,25.5,247.37,18.6,20.8,11.0,23.95,84.55,85.9,117.1,144.0,131.18,22.15,32.25
67,20191022,39.34,69.54,82.8,21.6,14.1,16.6,56.3,101.4,25.21,27.95,21.6,22.85,74.4,123.1,60.5,83.0,36.05,25.7,247.28,18.35,20.9,11.0,24.0,84.65,86.0,116.8,143.9,131.38,21.9,31.9
