,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
34,20170605,17.82,83.76,55.52,40.0,191.9,18.12,106.09,19.31,30.67,49.12,29.47,8.3,10.15,15.41,25.32,3.4,15.07,38.28,13.36,44.3,69.09,20.51,13.91,29.85,28.82,22.58,12.7,35.63,33.55,117.42
35,20170602,17.39,83.81,55.52,39.25,195.29,18.03,106.09,19.31,30.67,48.58,29.54,8.92,10.9,15.43,25.0,3.39,15.16,37.67,13.29,43.8,69.45,20.29,14.0,29.16,28.54,23.02,12.4,34.77,33.55,115.28
36,20170601,17.44,84.31,55.71,38.8,195.75,17.98,102.32,19.57,30.81,49.56,29.25,8.8,10.9,15.59,25.28,3.4,15.16,37.5,13.36,43.9,69.67,20.4,14.05,29.26,28.27,22.22,12.65,34.77,33.51,116.05
37,20170531,17.58,82.3,55.13,39.0,196.21,18.12,101.85,19.7,30.49,49.47,28.96,8.7,10.9,15.64,25.63,3.36,14.79,37.1,13.19,43.2,68.0,19.65,14.18,28.85,27.32,22.13,12.5,34.67,33.26,114.37
38,20170530,17.49,82.35,55.52,39.0,190.71,18.22,105.34,19.22,30.49,50.36,29.32,8.82,11.2,15.1,23.99,3.35,14.84,37.15,13.29,42.8,67.85,19.65,14.46,28.94,27.54,22.08,12.6,34.77,33.26,114.37
39,20170529,18.1,82.26,56.95,40.15,195.29,18.85,107.88,19.31,30.21,51.61,30.26,9.08,11.45,15.33,24.89,3.48,15.26,37.93,13.43,43.0,68.51,19.65,14.82,30.17,28.36,23.02,12.7,34.86,33.6,115.89
40,20170526,18.58,83.4,57.43,39.3,195.29,18.22,106.0,19.22,29.85,50.54,31.02,9.0,11.45,15.02,23.26,3.52,15.16,38.11,13.61,42.8,70.54,19.62,14.86,30.53,26.68,23.2,12.3,35.15,33.47,116.12
41,20170525,18.2,79.3,55.8,39.3,192.54,18.22,99.07,19.18,30.21,51.7,30.41,8.8,11.3,15.1,22.64,3.54,15.44,38.46,13.36,43.0,71.49,19.9,15.23,30.49,25.86,23.42,12.4,35.53,33.1,114.6
42,20170524,18.34,79.39,55.04,39.65,184.29,18.56,99.26,19.27,29.66,50.81,30.51,8.83,11.3,15.1,22.99,3.54,15.4,36.71,13.15,43.5,71.92,20.19,14.59,30.49,26.45,23.38,12.55,36.16,33.47,115.74
43,20170523,17.68,81.12,55.42,37.7,183.37,18.03,95.49,19.35,29.51,51.07,29.18,8.9,11.35,14.94,22.33,3.57,15.44,36.45,12.31,44.1,68.72,20.08,14.46,29.89,24.91,22.66,12.4,35.63,33.76,115.74
44,20170522,17.53,82.49,55.8,38.4,184.01,18.51,93.79,19.44,29.29,51.7,28.67,9.05,11.6,14.87,22.19,3.56,15.73,36.53,12.8,44.1,66.32,20.05,14.73,29.53,24.45,22.98,12.7,35.92,34.05,114.82
45,20170519,16.39,83.17,54.85,38.75,185.2,17.55,93.29,19.7,29.23,49.74,29.9,9.0,11.55,14.76,21.63,3.5,15.21,36.27,12.42,43.0,65.45,20.08,14.36,30.03,23.82,23.2,12.4,35.2,33.8,112.99
46,20170518,16.01,83.81,54.85,39.2,185.66,17.3,94.3,19.44,28.93,48.67,27.94,8.8,11.2,14.66,21.57,3.49,15.21,35.66,12.03,43.5,65.02,20.08,14.32,28.07,22.91,21.86,12.45,34.81,34.13,111.54
47,20170517,15.91,83.4,55.04,40.4,186.49,17.11,93.67,19.56,28.87,48.41,28.67,8.96,11.6,14.94,21.61,3.57,15.21,35.66,11.58,43.5,64.91,20.15,14.55,28.34,23.04,21.5,12.5,34.67,34.13,112.3
48,20170516,16.1,84.31,54.56,39.1,184.29,17.16,90.27,19.52,28.69,48.58,28.23,8.94,11.55,14.92,21.48,3.69,15.02,35.83,11.54,43.85,65.16,20.69,14.68,28.34,22.82,21.15,12.35,34.53,34.3,109.63
