,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NT2,NVL,PLX,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM
49,20180514,33.73,49.68,93.38,31.0,138.95,29.5,101.32,17.4,44.59,109.81,24.21,30.66,11.94,32.61,23.48,98.0,77.44,23.25,54.0,60.43,34.46,81.5,236.51,16.36,32.5,13.1,57.05,109.09,156.58,138.83
50,20180511,33.43,46.49,91.53,30.8,135.85,29.4,100.74,17.22,43.07,103.39,23.77,30.6,11.98,32.61,23.14,93.9,75.97,23.14,55.5,58.6,33.94,80.5,226.89,16.27,32.13,13.1,56.66,102.48,154.7,138.83
51,20180510,32.16,44.36,92.89,30.1,133.41,28.0,100.74,17.13,42.21,97.72,23.5,30.33,11.9,32.52,22.38,94.0,73.76,23.21,56.0,58.6,33.7,81.9,224.97,15.68,31.85,12.9,55.29,99.59,156.5,140.39
52,20180509,34.42,45.12,91.53,30.35,133.32,30.0,100.93,16.77,42.28,100.04,24.08,31.32,12.1,32.52,23.63,95.0,78.11,22.95,56.6,61.98,34.27,85.0,224.97,15.91,33.24,13.5,58.22,101.57,158.21,144.29
53,20180508,34.91,45.12,93.96,30.6,127.4,30.4,100.74,16.59,42.71,95.85,24.53,31.32,11.34,32.15,23.86,97.0,77.89,22.73,56.7,62.44,34.56,83.8,225.84,15.91,33.24,13.65,59.69,102.4,152.25,144.37
54,20180507,34.17,44.28,89.58,31.3,128.62,30.45,98.8,16.59,43.15,96.32,23.81,30.77,11.74,32.88,24.39,96.5,79.66,22.55,53.9,60.89,34.61,78.4,225.26,16.5,33.8,13.95,60.77,102.98,148.28,148.19
55,20180504,31.96,43.86,84.81,31.3,126.28,28.5,95.6,16.42,42.57,91.2,23.77,29.67,11.42,32.52,23.25,91.5,74.86,22.44,52.0,59.88,33.8,73.3,210.55,16.59,31.8,13.45,57.73,102.89,143.42,143.51
56,20180503,33.14,45.38,87.44,31.3,121.96,29.0,94.54,16.28,41.99,89.8,23.9,29.84,11.62,32.61,22.91,92.0,74.94,22.88,54.2,60.61,34.08,68.58,208.91,16.77,32.5,13.7,58.32,101.65,140.18,144.29
57,20180502,33.04,45.12,84.71,31.3,124.02,27.25,95.89,16.68,41.26,96.51,23.99,29.89,12.46,32.61,22.19,93.4,74.86,22.88,58.2,60.43,33.99,67.83,204.88,16.73,32.32,13.3,56.95,103.31,145.53,143.9
58,20180427,35.5,44.95,89.58,31.5,126.75,29.3,96.86,17.13,41.26,103.76,23.63,29.56,13.38,33.06,22.65,91.8,75.23,23.21,61.5,56.49,34.08,71.67,204.78,16.45,33.43,13.85,58.71,104.13,151.52,144.29
59,20180426,35.89,44.11,90.56,32.8,124.96,28.25,97.25,17.13,39.82,111.49,23.19,29.4,13.06,32.43,21.59,89.2,74.35,23.36,66.1,52.83,32.8,67.0,210.55,15.86,32.32,13.35,56.95,104.96,155.57,141.17
60,20180424,37.37,46.39,97.37,32.8,129.09,30.35,102.19,17.18,40.83,119.86,24.39,30.77,13.38,32.61,23.14,95.8,77.96,23.58,71.0,56.77,34.18,66.75,208.63,16.18,34.73,14.15,58.71,104.96,158.01,140.39
61,20180423,36.09,48.16,93.48,32.0,131.44,31.2,103.54,17.04,41.99,116.05,24.7,30.55,13.82,33.78,23.18,95.0,77.81,22.47,69.8,59.15,34.27,69.5,209.11,16.18,36.31,14.4,58.32,101.82,159.63,142.26
62,20180420,38.79,51.7,96.4,32.0,138.76,33.5,105.58,18.03,44.38,124.7,25.55,32.31,14.82,33.78,24.88,96.2,74.25,23.76,69.8,63.54,35.7,74.42,213.43,16.82,39.0,15.45,62.63,101.65,158.57,145.07
63,20180419,37.37,51.03,92.5,32.0,129.75,31.6,105.58,17.9,43.94,120.33,25.51,31.32,14.86,33.33,24.16,93.0,71.27,23.5,69.8,61.16,35.32,73.0,204.01,16.32,37.7,15.0,59.69,99.92,159.63,146.24
64,20180418,39.53,53.64,99.32,33.15,137.07,33.55,107.52,18.07,44.88,120.33,26.13,32.42,15.7,35.82,25.49,100.0,74.9,23.36,69.8,65.74,36.08,78.17,219.2,16.54,38.54,15.5,63.41,107.36,170.0,146.24
65,20180417,41.2,56.0,104.19,32.4,141.95,34.8,108.88,18.39,44.88,119.12,26.04,32.8,15.9,36.23,26.13,104.0,76.5,23.28,70.9,67.75,36.17,83.75,220.16,16.95,39.0,15.8,65.56,107.44,170.16,143.9
66,20180416,39.34,57.86,100.68,32.4,140.83,34.0,109.17,18.57,44.23,118.47,26.09,33.02,15.18,36.77,25.45,104.3,77.09,23.32,72.9,70.22,35.6,83.5,220.64,16.36,38.44,15.5,64.49,106.36,171.62,148.19
67,20180413,41.3,58.62,101.46,32.4,143.64,34.2,109.17,18.75,44.88,119.12,26.04,33.63,15.78,35.87,25.07,102.5,76.65,23.28,74.5,70.04,36.22,89.17,219.01,16.04,38.35,15.45,66.44,105.45,171.62,152.63
68,20180412,43.66,60.14,103.8,32.45,148.34,35.7,108.3,19.2,46.04,121.45,25.64,33.9,16.77,36.41,26.36,102.0,75.27,23.58,73.8,73.25,36.65,83.33,221.12,15.73,39.0,15.6,69.38,104.96,170.16,153.1
69,20180411,43.76,59.04,103.99,32.4,150.4,35.7,107.91,19.11,45.61,117.72,26.04,33.24,17.45,36.23,26.66,98.0,72.58,23.06,72.5,72.33,36.55,89.33,221.12,15.59,38.82,15.65,69.67,104.13,172.59,152.87
70,20180410,44.74,59.8,105.07,32.8,146.56,37.3,107.04,19.46,46.62,120.52,26.76,33.41,18.05,36.23,27.69,105.0,73.45,23.06,72.5,75.99,37.88,96.0,221.12,16.14,40.39,16.2,72.9,108.26,175.83,153.65
71,20180409,43.66,59.8,102.73,33.4,142.8,37.7,106.08,19.11,45.9,120.79,27.07,33.41,18.21,36.77,27.88,107.0,75.2,23.43,73.1,76.36,37.36,102.33,216.32,16.41,41.14,16.4,72.22,111.49,176.64,154.27
72,20180406,43.27,59.8,104.68,33.6,145.52,35.7,108.3,19.06,45.39,120.79,27.11,33.19,17.89,36.5,27.72,106.8,76.58,24.31,76.5,75.99,37.45,110.0,218.43,16.41,38.91,16.1,71.92,109.42,176.64,154.58
73,20180405,43.27,59.88,104.38,33.65,142.71,35.6,110.61,19.11,45.61,120.89,26.76,32.31,18.05,36.14,27.8,109.5,76.65,24.28,78.0,74.53,37.17,105.0,218.43,15.91,38.91,15.7,71.92,108.26,176.64,153.88
74,20180404,44.06,59.04,98.35,31.45,138.01,35.9,109.94,19.11,44.67,120.98,26.8,32.42,18.13,35.01,27.65,110.0,76.29,22.69,77.0,75.53,37.31,112.5,217.28,15.86,38.91,15.6,71.92,105.37,179.07,155.99
75,20180403,44.35,60.81,97.86,29.4,143.64,36.3,109.94,19.15,44.3,123.77,27.07,32.14,17.77,34.24,27.8,113.0,74.9,22.73,76.8,75.99,37.5,112.17,220.16,15.86,39.19,15.7,72.71,101.07,182.31,151.07
76,20180402,44.25,59.88,94.55,30.2,147.4,36.2,107.91,19.51,44.52,126.66,26.76,32.42,18.21,34.78,27.12,114.6,80.07,22.73,72.0,77.73,36.27,120.33,228.82,15.82,37.89,15.8,72.41,101.65,184.83,155.75
77,20180330,42.68,58.03,92.02,30.95,148.25,34.6,107.04,19.73,43.94,122.28,27.42,33.19,18.21,34.69,26.28,113.5,82.03,22.69,69.2,76.63,35.79,112.5,231.32,16.0,36.22,15.5,68.99,96.86,181.42,158.33
78,20180329,43.27,59.04,90.56,30.85,139.98,35.0,104.25,19.69,43.07,117.72,27.51,33.41,17.89,34.42,26.66,109.5,82.25,22.73,66.3,75.35,35.89,112.25,229.87,15.54,36.22,15.25,69.48,95.04,179.88,161.45
79,20180328,43.81,61.15,91.53,30.7,142.8,35.2,108.4,19.73,42.64,118.19,27.83,32.91,17.89,34.92,26.81,110.4,82.32,22.69,66.1,75.9,36.65,120.25,229.87,15.77,36.68,15.35,68.99,94.63,182.31,164.57
80,20180327,43.37,61.57,90.56,30.6,148.34,35.8,111.38,19.82,43.07,118.0,27.38,32.64,17.89,35.19,27.12,109.0,82.9,22.84,65.0,75.08,36.08,120.0,234.58,15.82,37.14,15.5,69.48,93.39,179.88,166.13
81,20180326,44.15,62.08,90.56,31.4,151.72,35.8,112.83,20.09,42.86,120.61,26.76,32.36,17.74,35.05,27.12,109.1,83.63,22.84,60.76,75.99,35.79,118.33,234.78,16.0,37.33,15.65,70.36,94.05,176.56,162.62
82,20180323,41.65,62.24,85.4,31.75,155.38,34.95,110.9,20.5,42.42,121.82,27.2,33.74,18.52,34.87,26.89,102.0,84.5,22.84,60.69,77.92,35.79,112.58,226.32,15.82,36.77,15.75,68.4,90.5,168.86,161.45
83,20180322,43.56,63.51,89.58,31.9,159.14,35.8,105.12,20.5,43.51,124.52,27.38,34.51,18.6,35.32,27.27,103.6,85.89,22.84,63.05,79.56,36.74,121.0,222.09,16.54,37.42,16.0,70.46,89.26,169.27,163.01
84,20180321,42.78,65.45,87.64,31.5,161.3,36.2,108.97,20.45,44.16,118.38,27.69,34.62,18.44,35.32,27.88,102.4,87.27,22.91,62.21,79.56,37.03,129.83,217.28,16.86,38.03,16.25,71.92,89.26,164.49,163.01
85,20180320,41.79,64.1,83.84,32.25,155.85,36.0,108.11,20.18,44.38,117.26,27.02,33.79,18.28,35.32,27.57,100.5,87.27,22.47,63.36,78.28,37.31,121.42,217.28,16.82,38.12,16.0,72.41,86.12,166.03,163.01
86,20180319,41.01,62.41,84.71,33.0,151.72,36.3,101.07,20.45,43.8,119.58,27.2,34.67,18.28,35.78,27.19,94.3,85.09,22.99,64.35,79.01,37.41,113.5,216.32,16.27,38.07,16.05,72.71,86.28,168.13,165.35
87,20180316,42.09,63.26,80.82,32.5,151.63,36.7,100.29,20.81,43.51,119.12,27.74,33.08,18.32,36.23,27.27,92.0,82.47,22.95,60.23,75.99,38.17,106.08,219.68,16.73,38.07,16.3,73.1,82.4,165.3,166.91
88,20180315,41.01,64.86,80.82,33.75,154.91,36.6,97.4,20.77,43.87,112.61,28.09,33.3,18.75,36.23,27.23,93.0,82.54,22.99,60.23,74.25,39.02,114.0,205.74,17.59,36.45,16.15,72.22,82.23,166.51,163.94
89,20180314,38.35,66.55,81.99,33.0,156.88,35.55,94.99,21.03,44.02,110.0,28.63,33.96,18.67,36.5,26.36,94.0,83.63,22.1,60.23,74.34,38.74,115.0,206.32,17.54,36.4,16.05,72.22,84.71,167.32,166.13
90,20180313,38.55,63.76,81.6,33.15,161.39,35.7,95.18,20.23,43.51,107.02,28.09,33.79,18.95,36.41,26.28,95.0,84.36,22.84,60.15,74.62,37.88,115.5,208.63,16.5,36.68,16.1,70.46,84.79,166.92,163.79
91,20180312,37.96,66.21,82.38,34.2,165.05,33.45,95.18,20.18,44.45,108.14,28.99,34.07,18.4,36.14,25.6,95.2,85.09,21.59,60.84,75.44,37.88,115.5,211.7,15.45,35.66,15.95,70.46,82.64,170.08,160.67
92,20180309,36.63,69.75,81.7,34.3,168.15,32.4,92.48,20.45,44.59,104.23,29.43,33.79,18.99,36.05,25.38,94.1,84.43,21.81,61.53,76.91,36.65,115.58,211.9,16.14,36.03,15.4,69.48,85.54,169.35,162.23
93,20180308,36.58,72.53,78.87,35.1,170.87,31.7,93.54,20.86,45.03,106.65,30.77,33.96,19.14,36.05,25.03,94.0,83.7,22.33,61.37,77.82,35.89,114.92,211.61,16.14,35.43,15.2,68.01,85.29,169.35,163.01
94,20180307,36.88,73.21,76.83,34.5,167.12,31.5,93.06,20.45,45.03,106.84,30.99,33.57,19.46,36.23,25.0,91.4,82.98,22.91,60.46,76.27,35.6,115.83,212.47,16.27,35.47,15.05,68.11,81.49,168.13,160.74
95,20180306,37.02,73.46,80.82,34.5,169.93,32.3,96.24,20.45,45.82,108.88,31.49,35.11,19.22,36.14,25.75,90.5,85.09,22.84,60.38,79.29,36.17,112.5,211.99,16.36,35.1,15.3,69.67,81.4,170.0,157.55
96,20180305,34.62,74.31,81.79,34.3,167.59,30.5,96.44,19.91,44.52,104.23,31.28,33.9,18.28,36.23,24.62,91.0,86.9,23.21,61.83,76.08,35.79,115.83,217.28,16.18,32.83,14.95,66.54,77.69,164.49,157.86
97,20180302,37.17,75.23,80.24,34.45,163.17,32.7,100.78,20.27,44.23,108.88,31.85,36.43,19.22,37.14,25.91,91.5,88.36,23.21,65.5,79.65,35.41,116.83,219.2,16.41,35.29,15.7,70.26,78.1,163.68,155.44
98,20180301,37.17,76.75,80.33,35.0,165.05,32.7,101.26,20.23,44.02,107.95,30.77,36.65,19.46,38.4,25.68,91.0,89.09,23.21,67.4,79.84,35.7,116.5,223.05,16.45,35.1,15.75,69.97,77.69,162.46,152.87
99,20180228,38.35,79.11,81.5,35.7,169.93,33.6,100.58,21.08,43.29,106.0,30.12,36.26,18.99,38.77,26.06,89.2,90.18,23.36,65.5,82.31,36.55,114.33,226.12,16.27,34.27,16.1,72.22,78.43,162.06,152.87
100,20180227,37.52,77.6,83.94,35.7,172.75,32.1,101.84,21.44,43.29,105.63,31.2,35.22,19.34,38.95,24.85,91.4,91.63,23.58,64.27,80.48,36.41,120.33,232.18,16.45,32.78,16.15,71.63,77.27,162.87,155.99
101,20180226,37.47,77.43,83.74,36.55,168.99,30.7,100.39,21.17,43.73,105.16,31.49,35.38,19.46,37.41,24.66,89.9,87.99,24.68,63.13,81.03,36.46,120.25,233.33,16.64,32.55,16.05,70.36,78.51,158.09,155.99
102,20180223,36.48,78.78,82.57,36.5,169.93,30.4,100.78,21.39,43.8,103.3,30.99,33.85,20.2,37.59,25.0,89.8,87.12,24.98,62.6,75.9,36.27,118.58,230.74,16.91,32.69,16.45,69.87,75.7,158.01,157.55
103,20180222,36.19,75.32,77.9,36.4,168.9,28.65,100.29,21.35,42.28,98.65,29.68,32.36,19.18,37.14,23.9,88.0,86.54,24.31,61.6,70.96,35.59,118.25,228.62,16.68,31.94,16.1,65.37,74.79,158.01,156.77
104,20180221,36.78,77.6,78.09,37.05,173.69,27.85,102.03,20.63,43.0,104.23,30.37,32.97,18.91,38.22,24.01,89.5,89.45,23.43,61.37,72.97,36.18,116.67,231.7,16.32,32.59,16.3,64.78,74.38,161.25,158.48
105,20180213,34.81,76.67,73.03,34.65,177.73,27.2,99.33,19.46,42.71,100.51,29.68,33.3,18.52,38.04,23.86,85.6,87.27,23.58,61.07,71.6,36.18,124.33,224.87,16.23,31.71,15.9,62.63,71.16,161.25,150.92
106,20180212,33.98,71.69,71.57,34.1,176.13,26.2,94.8,19.69,41.34,96.32,28.92,32.31,17.97,38.04,23.41,85.0,82.83,22.84,60.31,71.32,35.09,125.0,224.01,16.27,31.2,15.9,62.14,69.09,159.54,149.75
