lambda,markovitz_sqrt,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.345,-102227.35116630554,0.0004939201455196117,0.31880875694726,0.09864085540099052,0.07531018739864674,0.00028075024269030315,0.00012736798115686596,0.16778217753973088,0.00028075024386053454,0.3381476394685684,0.0001275946315755575
0.35,-97970.87341597387,0.00014350415710429905,0.30892229396055,0.10083095069375586,0.08616690902605288,6.367472044741038e-05,6.337441751669024e-05,0.1710742762272204,0.00014344098489646971,0.3325279449618589,6.363085059704828e-05
0.355,-93515.71748456387,0.001658135940373382,0.3003267956029909,0.1009392492466063,0.0947585340555076,0.0004907621278768803,0.00015486215206421552,0.17356562512464865,0.0004907627666213533,0.3272520977224517,0.0003631752608582164
0.36,-89379.19633381275,0.00025569060685963355,0.29171247077484264,0.1042400608151086,0.10454173776540164,0.00011624075291071912,0.00011618372820848091,0.17601578330715287,0.00011667712271394099,0.322768971398592,0.00011618372821005794
0.365,-85000.27316329819,0.0006119036709736827,0.28448120937914595,0.10403385997162468,0.1122874468496335,0.00046963707000248966,0.0002996856191897607,0.17919079331325274,0.0005849955688707111,0.31758670304762665,0.00045376550968018544
0.37,-80760.12204598162,0.0024080833051497424,0.27675483484435565,0.1058567587980447,0.11946302757152565,0.00026435607508292635,3.230319975629747e-06,0.1817968553405072,0.0002643572191411904,0.31318526618447545,3.230341742863928e-06
0.375,-76418.92866996472,0.0025791987929729174,0.27054421441789483,0.10522768398595456,0.12701981993916034,0.00026166814792733206,0.00026165489669929343,0.18348389811507088,0.0010987416957189279,0.3092614650955936,0.0002616549130081244
0.38,-72331.99058397712,0.000349323027745882,0.2639379508306556,0.10811169530733436,0.1339430533156001,0.0003086495805740907,0.0002639710443646976,0.18623400779572166,0.00032504871518841764,0.3062436716557817,0.0002826287270330237
0.385,-67894.16154946362,0.0022151703319443017,0.2582281766867811,0.10813213008204044,0.136658339390357,0.0021629481844853134,0.00033164976293066786,0.18880083024160907,0.0007384094909441558,0.3024005313353488,0.00033181449355918884
0.39,-63718.894849231736,0.002290257279075875,0.2533223348582881,0.10897505972634244,0.14201474485939647,0.0015287611696177812,0.0003681492612784544,0.19044972008463926,0.0006013680217737282,0.3000715510744717,0.00037805366511552623
0.395,-59733.36864306613,0.0010038748867817935,0.2498339368702748,0.11191715642960176,0.14679480799971706,0.00010090446301349936,1.1269253214922956e-05,0.19250829488361765,0.000100903332782687,0.29768501320384344,4.3838677154695316e-05
0.4,-55322.01418075855,0.003085959528894361,0.2436772372834257,0.10932517149965038,0.1546761102360495,0.0008209727079976951,9.514212571998351e-05,0.19322054234381286,0.0008209688271099223,0.29361480293210984,0.0006630925152293823
0.405,-51276.22106094418,0.0013237328086842545,0.2364309370450613,0.11378450916951405,0.16075697024975788,0.00044502694068886535,0.00021468915944706382,0.196747617066792,0.0003566496730430898,0.28966260938645483,0.00027725850055662616
0.41,-47093.40364601167,0.000591207133394925,0.2333477245544661,0.11439393808675336,0.16414942893887058,0.0005898875081255918,0.00034090534199987207,0.1976109654543137,0.0005898745757428402,0.2880342867493411,0.0003517816569928537
0.415,-42453.684959267935,0.002845512314153844,0.22112328322672176,0.11446538773327952,0.17295924872202315,0.002139961029378563,0.0019203541346959636,0.19591467360253634,0.0019206814256474468,0.2847905433593781,0.0019203544521838038
0.42,-38611.742298651436,0.001979277086361873,0.2237595832947735,0.11456869903364028,0.1729234030011135,0.0010579145768538716,0.00042832317286336136,0.2004489184872322,0.0010088572695185524,0.28284301197731,0.000982012100329903
